case_id,pkt_id,case_name,start_slot,src_rid,dst_rid,msg_class,class_name,vc_id,pkt_len,body_cnt,timeout_cycles,flits
0,0,CASE-A,0,6,0,0,REQ,1,1,0,300,0002C400
1,1,CASE-A,0,5,3,0,REQ,1,1,0,300,0121C400
2,2,CASE-A,0,6,2,0,REQ,1,1,0,300,2002C400
3,3,CASE-A,0,1,6,0,REQ,1,1,0,300,0210C400
4,4,CASE-A,0,8,2,0,REQ,0,1,0,300,2022C400
5,5,CASE-A,0,5,1,0,REQ,1,1,0,300,1021C400
6,6,CASE-A,0,8,2,0,REQ,0,1,0,300,2022C400
7,7,CASE-A,0,3,1,0,REQ,0,1,0,300,1001C400
8,8,CASE-A,0,5,0,0,REQ,1,1,0,300,0021C400
9,9,CASE-A,0,5,0,0,REQ,1,1,0,300,0021C400
10,10,CASE-A,0,0,2,0,REQ,0,1,0,300,2000C400
11,11,CASE-A,0,4,1,0,REQ,1,1,0,300,1011C400
12,12,CASE-A,0,1,2,0,REQ,1,1,0,300,2010C400
13,13,CASE-A,0,3,8,0,REQ,1,1,0,300,2201C400
14,14,CASE-A,0,0,3,0,REQ,0,1,0,300,0100C400
15,15,CASE-A,0,7,3,0,REQ,0,1,0,300,0112C400
16,16,CASE-A,0,4,6,0,REQ,0,1,0,300,0211C400
17,17,CASE-A,0,0,2,0,REQ,1,1,0,300,2000C400
18,18,CASE-A,0,0,2,0,REQ,0,1,0,300,2000C400
19,19,CASE-A,0,5,8,0,REQ,1,1,0,300,2221C400
20,20,CASE-A,0,2,6,0,REQ,1,1,0,300,0220C400
21,21,CASE-A,0,0,7,0,REQ,0,1,0,300,1200C400
22,22,CASE-A,0,6,2,0,REQ,0,1,0,300,2002C400
23,23,CASE-A,0,5,3,0,REQ,0,1,0,300,0121C400
24,24,CASE-A,0,7,0,0,REQ,0,1,0,300,0012C400
25,25,CASE-A,0,7,5,0,REQ,1,1,0,300,2112C400
26,26,CASE-A,0,8,3,0,REQ,1,1,0,300,0122C400
27,27,CASE-A,0,1,8,0,REQ,0,1,0,300,2210C400
28,28,CASE-A,0,1,7,0,REQ,0,1,0,300,1210C400
29,29,CASE-A,0,5,3,0,REQ,0,1,0,300,0121C400
30,30,CASE-A,0,2,4,0,REQ,0,1,0,300,1120C400
31,31,CASE-A,0,8,1,0,REQ,0,1,0,300,1022C400
32,32,CASE-A,0,2,0,0,REQ,1,1,0,300,0020C400
33,33,CASE-A,0,2,1,0,REQ,1,1,0,300,1020C400
34,34,CASE-A,0,8,6,0,REQ,0,1,0,300,0222C400
35,35,CASE-A,0,7,6,0,REQ,0,1,0,300,0212C400
36,36,CASE-A,0,3,2,0,REQ,0,1,0,300,2001C400
37,37,CASE-A,0,5,2,0,REQ,1,1,0,300,2021C400
38,38,CASE-A,0,2,8,0,REQ,0,1,0,300,2220C400
39,39,CASE-A,0,6,8,0,REQ,1,1,0,300,2202C400
40,40,CASE-A,0,5,1,0,REQ,0,1,0,300,1021C400
41,41,CASE-A,0,7,3,0,REQ,0,1,0,300,0112C400
42,42,CASE-A,0,2,8,0,REQ,0,1,0,300,2220C400
43,43,CASE-A,0,5,4,0,REQ,0,1,0,300,1121C400
44,44,CASE-A,0,8,0,0,REQ,1,1,0,300,0022C400
45,45,CASE-A,0,6,0,0,REQ,1,1,0,300,0002C400
46,46,CASE-A,0,8,1,0,REQ,0,1,0,300,1022C400
47,47,CASE-A,0,2,5,0,REQ,0,1,0,300,2120C400
48,48,CASE-A,0,4,7,0,REQ,1,1,0,300,1211C400
