case_id,pkt_id,src_rid,dst_rid,msg_class,vc_id,pkt_len,inject_cycle,finish_cycle,latency,status,error_code
0,0,6,0,REQ,1,1,2,11,9,PASS,PASS
1,1,5,3,REQ,1,1,3,12,9,PASS,PASS
4,4,8,2,REQ,0,1,9,18,9,PASS,PASS
2,2,6,2,REQ,1,1,4,19,15,PASS,PASS
3,3,1,6,REQ,1,1,8,20,12,PASS,PASS
5,5,5,1,REQ,1,1,10,19,9,PASS,PASS
6,6,8,2,REQ,0,1,20,29,9,PASS,PASS
7,7,3,1,REQ,0,1,37,46,9,PASS,PASS
9,9,5,0,REQ,1,1,40,50,10,PASS,PASS
10,10,0,2,REQ,0,1,42,51,9,PASS,PASS
12,12,1,2,REQ,1,1,46,52,6,PASS,PASS
8,8,5,0,REQ,1,1,38,52,14,PASS,PASS
11,11,4,1,REQ,1,1,44,50,6,PASS,PASS
13,13,3,8,REQ,1,1,48,60,12,PASS,PASS
14,14,0,3,REQ,0,1,6490,6496,6,PASS,PASS
15,15,7,3,REQ,0,1,12215,12224,9,PASS,PASS
16,16,4,6,REQ,0,1,20260,20269,9,PASS,PASS
17,17,0,2,REQ,1,1,27545,27554,9,PASS,PASS
18,18,0,2,REQ,0,1,35190,35199,9,PASS,PASS
19,19,5,8,REQ,1,1,42555,42561,6,PASS,PASS
20,20,2,6,REQ,1,1,49320,49335,15,PASS,PASS
21,21,0,7,REQ,0,1,55045,55057,12,PASS,PASS
22,22,6,2,REQ,0,1,61530,61545,15,PASS,PASS
23,23,5,3,REQ,0,1,68575,68584,9,PASS,PASS
24,24,7,0,REQ,0,1,77780,77792,12,PASS,PASS
25,25,7,5,REQ,1,1,84505,84514,9,PASS,PASS
26,26,8,3,REQ,1,1,91870,91882,12,PASS,PASS
27,27,1,8,REQ,0,1,98635,98647,12,PASS,PASS
28,28,1,7,REQ,0,1,105680,105689,9,PASS,PASS
29,29,5,3,REQ,0,1,112725,112734,9,PASS,PASS
30,30,2,4,REQ,0,1,119770,119779,9,PASS,PASS
31,31,8,1,REQ,0,1,126815,126827,12,PASS,PASS
32,32,2,0,REQ,1,1,133860,133869,9,PASS,PASS
33,33,2,1,REQ,1,1,140905,140911,6,PASS,PASS
34,34,8,6,REQ,0,1,147950,147959,9,PASS,PASS
35,35,7,6,REQ,0,1,154995,155001,6,PASS,PASS
36,36,3,2,REQ,0,1,162040,162052,12,PASS,PASS
37,37,5,2,REQ,1,1,169085,169091,6,PASS,PASS
38,38,2,8,REQ,0,1,176130,176139,9,PASS,PASS
39,39,6,8,REQ,1,1,183175,183184,9,PASS,PASS
40,40,5,1,REQ,0,1,190220,190229,9,PASS,PASS
41,41,7,3,REQ,0,1,197265,197274,9,PASS,PASS
42,42,2,8,REQ,0,1,204310,204319,9,PASS,PASS
43,43,5,4,REQ,0,1,211355,211361,6,PASS,PASS
44,44,8,0,REQ,1,1,218400,218415,15,PASS,PASS
45,45,6,0,REQ,1,1,225445,225454,9,PASS,PASS
46,46,8,1,REQ,0,1,232490,232502,12,PASS,PASS
47,47,2,5,REQ,0,1,239535,239541,6,PASS,PASS
48,48,4,7,REQ,1,1,246580,246586,6,PASS,PASS
49,49,6,4,REQ,1,1,253625,253634,9,PASS,PASS
50,50,4,7,REQ,1,1,260670,260676,6,PASS,PASS
51,51,0,4,REQ,1,1,267715,267724,9,PASS,PASS
52,52,0,3,REQ,1,1,274760,274766,6,PASS,PASS
53,53,2,0,REQ,0,1,281805,281814,9,PASS,PASS
54,54,0,1,REQ,0,1,288850,288856,6,PASS,PASS
55,55,6,7,REQ,0,1,295895,295901,6,PASS,PASS
56,56,4,5,REQ,0,1,302940,302946,6,PASS,PASS
57,57,4,5,REQ,1,1,309985,309991,6,PASS,PASS
58,58,1,4,REQ,1,1,317030,317036,6,PASS,PASS
59,59,0,6,REQ,0,1,324075,324084,9,PASS,PASS
60,60,2,1,REQ,0,1,331120,331126,6,PASS,PASS
61,61,4,3,REQ,1,1,338165,338171,6,PASS,PASS
62,62,6,3,REQ,0,1,345210,345216,6,PASS,PASS
63,63,2,1,REQ,0,1,352255,352261,6,PASS,PASS
64,64,5,6,REQ,1,1,359300,359312,12,PASS,PASS
65,65,0,3,REQ,0,1,366345,366351,6,PASS,PASS
66,66,7,2,REQ,0,1,373390,373402,12,PASS,PASS
67,67,4,8,REQ,1,1,380435,380444,9,PASS,PASS
68,68,2,4,REQ,0,1,387480,387489,9,PASS,PASS
69,69,1,8,REQ,0,1,394525,394537,12,PASS,PASS
70,70,8,6,REQ,0,1,401570,401579,9,PASS,PASS
71,71,8,2,REQ,1,1,408615,408624,9,PASS,PASS
72,72,2,7,REQ,1,1,415660,415672,12,PASS,PASS
73,73,7,0,REQ,1,1,422705,422717,12,PASS,PASS
74,74,0,6,REQ,1,1,429750,429759,9,PASS,PASS
75,75,8,0,REQ,1,1,436795,436810,15,PASS,PASS
76,76,7,0,REQ,1,1,443840,443852,12,PASS,PASS
77,77,5,6,REQ,1,1,450885,450897,12,PASS,PASS
78,78,2,6,REQ,0,1,457930,457945,15,PASS,PASS
79,79,1,7,REQ,0,1,464975,464984,9,PASS,PASS
80,80,1,2,REQ,0,1,472020,472026,6,PASS,PASS
81,81,0,4,REQ,0,1,479065,479074,9,PASS,PASS
82,82,8,1,REQ,1,1,486110,486122,12,PASS,PASS
83,83,7,0,REQ,1,1,493155,493167,12,PASS,PASS
84,84,3,5,REQ,0,1,500200,500209,9,PASS,PASS
85,85,6,8,REQ,0,1,507245,507254,9,PASS,PASS
86,86,7,2,REQ,0,1,514290,514302,12,PASS,PASS
87,87,8,3,REQ,0,1,521335,521347,12,PASS,PASS
88,88,7,0,REQ,0,1,528380,528392,12,PASS,PASS
89,89,1,8,REQ,0,1,535425,535437,12,PASS,PASS
90,90,1,4,REQ,0,1,542470,542476,6,PASS,PASS
91,91,3,4,REQ,0,1,549515,549521,6,PASS,PASS
92,92,7,5,REQ,1,1,556560,556569,9,PASS,PASS
93,93,6,8,REQ,0,1,563605,563614,9,PASS,PASS
94,94,7,8,REQ,0,1,570650,570656,6,PASS,PASS
95,95,8,0,REQ,1,1,577695,577710,15,PASS,PASS
96,96,3,6,REQ,1,1,584740,584746,6,PASS,PASS
97,97,1,6,REQ,1,1,591785,591797,12,PASS,PASS
98,98,1,5,REQ,0,1,598830,598839,9,PASS,PASS
99,99,7,4,REQ,1,1,605875,605881,6,PASS,PASS
100,256,1,2,REQ,1,1,612920,612926,6,PASS,PASS
100,257,3,6,REQ,0,1,612920,612926,6,PASS,PASS
101,258,0,8,REQ,1,1,624568,624583,15,PASS,PASS
101,259,4,0,REQ,1,1,624568,624577,9,PASS,PASS
102,260,3,4,REQ,1,1,635896,635902,6,PASS,PASS
102,261,0,6,REQ,0,1,635896,635905,9,PASS,PASS
103,262,8,4,REQ,0,1,647304,647313,9,PASS,PASS
103,263,3,1,REQ,1,1,647304,647313,9,PASS,PASS
104,264,8,0,REQ,0,1,658232,658247,15,PASS,PASS
104,265,0,2,REQ,1,1,658232,658241,9,PASS,PASS
105,266,3,2,REQ,1,1,669280,669292,12,PASS,PASS
105,267,4,8,REQ,0,1,669280,669289,9,PASS,PASS
106,268,3,6,REQ,1,1,680928,680934,6,PASS,PASS
106,269,6,7,REQ,1,1,680928,680934,6,PASS,PASS
107,270,8,1,REQ,1,1,692256,692268,12,PASS,PASS
107,271,7,2,REQ,0,1,692256,692268,12,PASS,PASS
108,272,1,4,REQ,1,1,703664,703670,6,PASS,PASS
108,273,5,6,REQ,1,1,703664,703676,12,PASS,PASS
109,274,1,6,REQ,1,1,715712,715724,12,PASS,PASS
109,275,3,0,REQ,0,1,715712,715718,6,PASS,PASS
110,276,0,5,REQ,0,1,727760,727772,12,PASS,PASS
110,277,2,4,REQ,1,1,727760,727769,9,PASS,PASS
111,278,2,4,REQ,0,1,739808,739817,9,PASS,PASS
111,279,5,6,REQ,1,1,739808,739820,12,PASS,PASS
112,280,3,7,REQ,1,1,751856,751865,9,PASS,PASS
112,281,0,5,REQ,1,1,751856,751868,12,PASS,PASS
113,282,2,5,REQ,0,1,763904,763910,6,PASS,PASS
113,283,4,8,REQ,1,1,763904,763913,9,PASS,PASS
114,284,7,0,REQ,1,1,775952,775964,12,PASS,PASS
114,285,3,6,REQ,0,1,775952,775958,6,PASS,PASS
115,286,8,5,REQ,0,1,788000,788006,6,PASS,PASS
115,287,7,4,REQ,1,1,788000,788006,6,PASS,PASS
116,288,5,1,REQ,0,1,800048,800057,9,PASS,PASS
116,289,2,8,REQ,0,1,800048,800057,9,PASS,PASS
117,290,6,2,REQ,0,1,812096,812111,15,PASS,PASS
117,291,5,1,REQ,0,1,812096,812105,9,PASS,PASS
118,292,0,1,REQ,0,1,824144,824150,6,PASS,PASS
118,293,5,4,REQ,1,1,824144,824150,6,PASS,PASS
119,294,4,5,REQ,0,1,836192,836198,6,PASS,PASS
119,295,5,6,REQ,0,1,836192,836204,12,PASS,PASS
120,296,7,5,REQ,0,1,848240,848249,9,PASS,PASS
120,297,3,4,REQ,0,1,848240,848246,6,PASS,PASS
121,298,4,0,REQ,0,1,860288,860297,9,PASS,PASS
121,299,8,2,REQ,0,1,860288,860297,9,PASS,PASS
122,300,4,3,REQ,0,1,872336,872342,6,PASS,PASS
122,301,0,1,REQ,0,1,872336,872342,6,PASS,PASS
